no2,pm2.5,benzen,pm10,year,month,day,time
47,47,3,56,2023,2,15,19
40,49,3,56,2023,2,15,20
31,44,2,49,2023,2,15,21
26,41,2,45,2023,2,15,22
18,40,2,43,2023,2,15,23
17,37,2,40,2023,2,16,0
30,36,2,39,2023,2,16,1
15,34,1,36,2023,2,16,2
14,34,1,36,2023,2,16,3
13,31,1,33,2023,2,16,4
24,32,1,33,2023,2,16,5
37,31,1,35,2023,2,16,6
51,39,1,48,2023,2,16,7
50,39,3,54,2023,2,16,8
47,35,3,50,2023,2,16,9
54,41,2,67,2023,2,16,10
44,45,2,66,2023,2,16,11
42,43,1,64,2023,2,16,12
44,34,1,54,2023,2,16,13
43,36,1,55,2023,2,16,14
59,31,2,47,2023,2,16,15
64,41,2,64,2023,2,16,16
86,51,4,86,2023,2,16,17
58,45,3,66,2023,2,16,18
49,36,3,51,2023,2,16,19
32,33,2,43,2023,2,16,20
30,31,2,39,2023,2,16,21
20,24,1,29,2023,2,16,22
15,17,1,19,2023,2,16,23
11,14,1,16,2023,2,17,0
30,14,1,15,2023,2,17,1
19,14,1,16,2023,2,17,2
28,14,1,16,2023,2,17,3
35,15,1,17,2023,2,17,4
50,19,2,30,2023,2,17,5
60,24,1,40,2023,2,17,6
74,34,1,53,2023,2,17,7
82,39,4,69,2023,2,17,8
71,38,2,63,2023,2,17,9
60,34,2,57,2023,2,17,10
54,29,1,52,2023,2,17,11
43,19,0,37,2023,2,17,12
43,12,0,24,2023,2,17,13
42,12,1,26,2023,2,17,14
48,13,1,28,2023,2,17,15
51,14,1,30,2023,2,17,16
63,19,1,34,2023,2,17,17
61,25,2,44,2023,2,17,18
56,24,1,40,2023,2,17,19
49,24,1,36,2023,2,17,20
44,23,1,33,2023,2,17,21
55,24,1,37,2023,2,17,22
40,25,1,35,2023,2,17,23
46,23,1,30,2023,2,18,0
45,22,0,30,2023,2,18,1
30,28,0,31,2023,2,18,2
26,35,1,38,2023,2,18,3
29,36,0,39,2023,2,18,4
39,32,1,38,2023,2,18,5
51,28,1,36,2023,2,18,6
48,20,1,33,2023,2,18,7
62,21,1,38,2023,2,18,8
66,30,2,56,2023,2,18,9
70,39,2,66,2023,2,18,10
70,42,2,69,2023,2,18,11
71,44,2,68,2023,2,18,12
55,37,2,58,2023,2,18,13
53,30,1,51,2023,2,18,14
38,24,1,38,2023,2,18,15
43,21,1,32,2023,2,18,16
69,28,2,46,2023,2,18,17
69,36,2,54,2023,2,18,18
52,27,1,40,2023,2,18,19
35,23,1,33,2023,2,18,20
46,22,2,31,2023,2,18,21
62,29,2,41,2023,2,18,22
61,32,3,40,2023,2,18,23
60,33,2,40,2023,2,19,0
47,24,1,29,2023,2,19,1
30,27,1,31,2023,2,19,2
48,22,1,25,2023,2,19,3
37,20,1,23,2023,2,19,4
40,19,1,22,2023,2,19,5
36,19,1,21,2023,2,19,6
23,18,1,21,2023,2,19,7
21,19,1,24,2023,2,19,8
27,19,1,26,2023,2,19,9
22,18,1,30,2023,2,19,10
22,15,0,24,2023,2,19,11
23,12,0,18,2023,2,19,12
27,10,0,15,2023,2,19,13
30,10,0,21,2023,2,19,14
27,12,0,22,2023,2,19,15
32,13,0,24,2023,2,19,16
65,18,2,35,2023,2,19,17
79,27,3,53,2023,2,19,18
41,21,2,35,2023,2,19,19
38,18,2,28,2023,2,19,20
17,14,1,19,2023,2,19,21
27,13,1,17,2023,2,19,22
27,11,1,14,2023,2,19,23
27,13,1,17,2023,2,20,0
26,13,1,16,2023,2,20,1
21,9,0,11,2023,2,20,2
30,8,0,10,2023,2,20,3
23,9,0,13,2023,2,20,4
29,10,1,15,2023,2,20,5
37,13,1,19,2023,2,20,6
33,11,1,18,2023,2,20,7
35,11,1,20,2023,2,20,8
31,12,1,27,2023,2,20,9
42,15,1,36,2023,2,20,10
38,27,1,45,2023,2,20,11
35,21,1,33,2023,2,20,12
33,19,0,35,2023,2,20,13
30,19,0,28,2023,2,20,14
30,19,0,28,2023,2,20,15
30,19,1,28,2023,2,20,16
30,19,1,28,2023,2,20,17
30,19,2,28,2023,2,20,18
30,19,2,28,2023,2,20,19
30,19,2,28,2023,2,20,20
30,19,1,28,2023,2,20,21
30,19,2,28,2023,2,20,22
30,19,2,28,2023,2,20,23
30,19,1,28,2023,2,21,0
30,19,1,28,2023,2,21,1
30,19,1,28,2023,2,21,2
30,19,1,28,2023,2,21,3
30,19,1,28,2023,2,21,4
30,19,1,28,2023,2,21,5
30,19,1,28,2023,2,21,6
77,18,2,38,2023,2,21,7
77,25,1,51,2023,2,21,8
46,19,1,43,2023,2,21,9
46,19,1,37,2023,2,21,10
35,20,1,39,2023,2,21,11
35,17,1,31,2023,2,21,12
39,18,1,37,2023,2,21,13
39,20,1,39,2023,2,21,14
53,23,1,44,2023,2,21,15
60,24,1,41,2023,2,21,16
68,29,1,52,2023,2,21,17
43,17,1,32,2023,2,21,18
23,12,1,22,2023,2,21,19
22,11,1,21,2023,2,21,20
18,12,1,18,2023,2,21,21
19,11,1,17,2023,2,21,22
21,14,1,20,2023,2,21,23
13,11,1,15,2023,2,22,0
16,12,1,15,2023,2,22,1
17,16,1,19,2023,2,22,2
13,12,1,16,2023,2,22,3
30,12,1,15,2023,2,22,4
21,13,1,17,2023,2,22,5
29,15,1,21,2023,2,22,6
35,16,1,26,2023,2,22,7
32,20,1,45,2023,2,22,8
35,23,1,88,2023,2,22,9
45,18,1,38,2023,2,22,10
35,23,1,40,2023,2,22,11
22,22,1,31,2023,2,22,12
29,25,0,39,2023,2,22,13
33,28,1,43,2023,2,22,14
40,30,1,44,2023,2,22,15
46,29,1,43,2023,2,22,16
39,31,1,42,2023,2,22,17
56,38,2,51,2023,2,22,18
44,35,2,50,2023,2,22,19
40,29,2,39,2023,2,22,20
32,33,2,41,2023,2,22,21
26,29,1,34,2023,2,22,22
20,28,1,32,2023,2,22,23
15,31,1,36,2023,2,23,0
12,25,1,29,2023,2,23,1
11,32,1,35,2023,2,23,2
12,22,1,25,2023,2,23,3
30,20,0,23,2023,2,23,4
18,22,1,25,2023,2,23,5
34,20,1,25,2023,2,23,6
33,22,1,27,2023,2,23,7
30,23,1,31,2023,2,23,8
26,22,1,31,2023,2,23,9
39,25,1,39,2023,2,23,10
50,34,1,61,2023,2,23,11
39,35,1,58,2023,2,23,12
45,37,1,56,2023,2,23,13
47,35,1,53,2023,2,23,14
49,30,1,48,2023,2,23,15
49,22,1,43,2023,2,23,16
46,25,1,41,2023,2,23,17
45,28,1,39,2023,2,23,18
