no2,pm2.5,benzen,pm10,temp,pressure,humidity,wind_speed,year,month,day,time
47,47,3,56,2.3799999999999955,987,84,2.57,2023,2,15,19
40,49,3,56,1.82000000000005,986,82,2.06,2023,2,15,20
31,44,2,49,1.7900000000000205,986,86,2.06,2023,2,15,21
26,41,2,45,1.400000000000034,986,86,0.51,2023,2,15,22
18,40,2,43,1.3700000000000043,986,85,0.0,2023,2,15,23
17,37,2,40,1.2900000000000205,986,84,0.0,2023,2,16,0
30,36,2,39,-2.909999999999968,1029,100,1.03,2023,2,16,1
15,34,1,36,-2.9799999999999613,1028,93,1.54,2023,2,16,2
14,34,1,36,-4.060000000000002,1028,93,1.03,2023,2,16,3
13,31,1,33,-3.0600000000000023,1028,93,1.03,2023,2,16,4
24,32,1,33,3.830000000000041,950,67,0.51,2023,2,16,5
37,31,1,35,-4.060000000000002,1028,93,0.0,2023,2,16,6
51,39,1,48,1.9500000000000453,984,75,1.03,2023,2,16,7
50,39,3,54,3.410000000000025,987,73,0.51,2023,2,16,8
47,35,3,50,3.410000000000025,1028,77,1.03,2023,2,16,9
54,41,2,67,6.340000000000032,1028,66,0.51,2023,2,16,10
44,45,2,66,9.240000000000007,988,56,1.03,2023,2,16,11
42,43,1,64,10.25,987,54,1.03,2023,2,16,12
44,34,1,54,11.400000000000034,987,47,0.51,2023,2,16,13
43,36,1,55,11.560000000000002,1026,46,1.03,2023,2,16,14
59,31,2,47,9.27000000000004,986,59,1.03,2023,2,16,15
64,41,2,64,7.640000000000043,986,65,1.03,2023,2,16,16
86,51,4,86,5.810000000000002,986,66,0.51,2023,2,16,17
58,45,3,66,3.9700000000000273,1026,78,1.03,2023,2,16,18
49,36,3,51,3.3600000000000136,986,78,2.06,2023,2,16,19
32,33,2,43,4.03000000000003,985,74,2.06,2023,2,16,20
30,31,2,39,3.620000000000005,985,76,1.03,2023,2,16,21
20,24,1,29,3.8000000000000114,985,72,0.89,2023,2,16,22
15,17,1,19,3.0300000000000296,985,72,0.0,2023,2,16,23
11,14,1,16,2.990000000000009,985,72,0.89,2023,2,17,0
30,14,1,15,3.300000000000012,985,71,1.03,2023,2,17,1
19,14,1,16,-1.839999999999975,1026,93,1.03,2023,2,17,2
28,14,1,16,-1.7899999999999636,1026,93,1.03,2023,2,17,3
35,15,1,17,-0.6499999999999773,1026,89,0.0,2023,2,17,4
50,19,2,30,-0.1599999999999681,1026,89,1.03,2023,2,17,5
60,24,1,40,-0.25,1026,89,1.54,2023,2,17,6
74,34,1,53,1.0400000000000205,1026,92,0.0,2023,2,17,7
82,39,4,69,3.340000000000032,1026,85,0.51,2023,2,17,8
71,38,2,63,7.03000000000003,1026,68,1.03,2023,2,17,9
60,34,2,57,10.600000000000025,1025,52,1.54,2023,2,17,10
54,29,1,52,13.180000000000009,1025,41,4.12,2023,2,17,11
43,19,0,37,13.980000000000018,983,41,7.2,2023,2,17,12
43,12,0,24,14.240000000000007,984,42,6.17,2023,2,17,13
42,12,1,26,13.970000000000027,984,45,6.69,2023,2,17,14
48,13,1,28,13.700000000000044,983,42,6.69,2023,2,17,15
51,14,1,30,12.110000000000014,983,46,6.17,2023,2,17,16
63,19,1,34,10.400000000000034,1022,50,5.66,2023,2,17,17
61,25,2,44,9.53000000000003,1022,57,4.63,2023,2,17,18
56,24,1,40,9.78000000000003,1022,58,3.6,2023,2,17,19
49,24,1,36,6.980000000000018,1022,72,3.6,2023,2,17,20
44,23,1,33,6.960000000000036,1022,72,2.06,2023,2,17,21
55,24,1,37,6.410000000000025,1022,78,1.54,2023,2,17,22
40,25,1,35,6.2900000000000205,1022,74,2.57,2023,2,17,23
46,23,1,30,6.140000000000043,1022,72,4.63,2023,2,18,0
45,22,0,30,6.550000000000011,1022,74,3.6,2023,2,18,1
30,28,0,31,5.180000000000007,1022,78,4.12,2023,2,18,2
26,35,1,38,4.03000000000003,1022,85,4.12,2023,2,18,3
29,36,0,39,4.0400000000000205,1022,83,3.09,2023,2,18,4
39,32,1,38,3.650000000000034,1024,82,2.0,2023,2,18,5
51,28,1,36,3.390000000000043,1024,84,2.17,2023,2,18,6
48,20,1,33,3.5400000000000205,1022,85,2.57,2023,2,18,7
62,21,1,38,4.82000000000005,1022,85,1.03,2023,2,18,8
66,30,2,56,6.1200000000000045,1022,82,0.51,2023,2,18,9
70,39,2,66,11.410000000000023,947,54,1.79,2023,2,18,10
70,42,2,69,11.010000000000048,983,57,4.12,2023,2,18,11
71,44,2,68,11.75,982,55,4.63,2023,2,18,12
55,37,2,58,12.08000000000004,981,53,6.17,2023,2,18,13
53,30,1,51,12.300000000000011,980,52,6.17,2023,2,18,14
38,24,1,38,11.810000000000002,979,51,5.66,2023,2,18,15
43,21,1,32,10.300000000000011,1017,65,7.72,2023,2,18,16
69,28,2,46,8.330000000000041,1017,65,6.17,2023,2,18,17
69,36,2,54,6.3700000000000045,1017,76,3.09,2023,2,18,18
52,27,1,40,3.9399999999999977,1017,87,1.54,2023,2,18,19
35,23,1,33,2.9399999999999977,1018,87,2.06,2023,2,18,20
46,22,2,31,2.9399999999999977,1018,81,0.51,2023,2,18,21
62,29,2,41,1.9399999999999975,1019,87,1.54,2023,2,18,22
61,32,3,40,0.9399999999999976,1019,86,0.51,2023,2,18,23
60,33,2,40,-0.0600000000000022,1019,93,1.03,2023,2,19,0
47,24,1,29,0.9399999999999976,1019,93,1.03,2023,2,19,1
30,27,1,31,0.9399999999999976,1019,93,0.51,2023,2,19,2
48,22,1,25,-0.0600000000000022,1019,93,2.06,2023,2,19,3
37,20,1,23,1.0400000000000205,1018,91,0.51,2023,2,19,4
40,19,1,22,1.8900000000000432,1018,91,0.51,2023,2,19,5
36,19,1,21,0.9900000000000092,1018,92,0.51,2023,2,19,6
23,18,1,21,1.9800000000000184,1018,92,2.06,2023,2,19,7
21,19,1,24,3.1000000000000227,1018,92,1.54,2023,2,19,8
27,19,1,26,6.400000000000034,1018,88,0.51,2023,2,19,9
22,18,1,30,7.78000000000003,1018,77,1.03,2023,2,19,10
22,15,0,24,11.730000000000018,1018,63,1.03,2023,2,19,11
23,12,0,18,13.82000000000005,978,51,1.03,2023,2,19,12
27,10,0,15,14.83000000000004,978,47,3.6,2023,2,19,13
30,10,0,21,15.33000000000004,1017,44,3.6,2023,2,19,14
27,12,0,22,15.340000000000032,1017,42,5.14,2023,2,19,15
32,13,0,24,11.920000000000016,979,55,4.12,2023,2,19,16
65,18,2,35,11.340000000000032,1019,58,1.54,2023,2,19,17
79,27,3,53,7.960000000000036,981,69,1.03,2023,2,19,18
41,21,2,35,7.660000000000025,982,67,0.51,2023,2,19,19
38,18,2,28,6.980000000000018,983,73,2.06,2023,2,19,20
17,14,1,19,6.350000000000023,983,72,2.57,2023,2,19,21
27,13,1,17,6.090000000000032,983,73,2.57,2023,2,19,22
27,11,1,14,4.430000000000007,984,75,1.03,2023,2,19,23
27,13,1,17,6.310000000000002,948,63,0.23,2023,2,20,0
26,13,1,16,5.189999999999998,949,69,0.76,2023,2,20,1
21,9,0,11,3.840000000000032,985,81,2.06,2023,2,20,2
30,8,0,10,3.7200000000000273,986,85,1.03,2023,2,20,3
23,9,0,13,4.730000000000018,986,80,0.51,2023,2,20,4
29,10,1,15,5.680000000000007,949,76,0.21,2023,2,20,5
37,13,1,19,3.680000000000007,986,81,1.03,2023,2,20,6
33,11,1,18,4.110000000000014,986,79,1.03,2023,2,20,7
35,11,1,20,7.350000000000023,950,66,1.25,2023,2,20,8
31,12,1,27,8.310000000000002,1026,76,0.51,2023,2,20,9
42,15,1,36,9.460000000000036,1026,72,1.54,2023,2,20,10
38,27,1,45,12.410000000000023,1025,58,3.09,2023,2,20,11
35,21,1,33,14.300000000000011,1024,50,4.12,2023,2,20,12
33,19,0,35,13.78000000000003,983,45,4.63,2023,2,20,13
30,19,0,28,13.660000000000023,983,46,5.14,2023,2,20,14
30,19,0,28,15.760000000000048,1021,40,5.14,2023,2,20,15
30,19,1,28,12.870000000000005,981,48,5.14,2023,2,20,16
30,19,1,28,11.200000000000044,981,53,5.66,2023,2,20,17
30,19,2,28,9.710000000000036,1020,60,4.63,2023,2,20,18
30,19,2,28,7.150000000000034,1022,69,2.14,2023,2,20,19
30,19,2,28,7.8799999999999955,1019,68,3.09,2023,2,20,20
30,19,1,28,5.28000000000003,1019,74,4.12,2023,2,20,21
30,19,2,28,3.960000000000037,1019,81,0.51,2023,2,20,22
30,19,2,28,2.9399999999999977,1019,81,1.03,2023,2,20,23
30,19,1,28,1.9399999999999975,1018,80,0.51,2023,2,21,0
30,19,1,28,0.9399999999999976,1018,86,0.0,2023,2,21,1
30,19,1,28,0.9399999999999976,1018,93,0.51,2023,2,21,2
30,19,1,28,0.9399999999999976,1017,86,0.51,2023,2,21,3
30,19,1,28,-0.0600000000000022,1017,93,1.54,2023,2,21,4
30,19,1,28,-0.0600000000000022,1017,93,0.51,2023,2,21,5
30,19,1,28,0.9399999999999976,1017,93,0.51,2023,2,21,6
77,18,2,38,2.480000000000018,1017,86,0.51,2023,2,21,7
77,25,1,51,6.170000000000016,1017,84,1.03,2023,2,21,8
46,19,1,43,10.680000000000009,1017,62,1.03,2023,2,21,9
46,19,1,37,12.920000000000016,1018,54,0.51,2023,2,21,10
